clip_id,tipo,gold,raw,corregido
1,delete,[student:,,
1,delete,],,
1,delete,l ,,
1,insert,," Okay. But anyway, happy, happy Wednesday, my dear. It's another, you know, class, alright, for the week, right? So, but before we begin, alright, how was your week so far? Because we are in the middle part of it, you know, we call it hump day. Yeah. Right? So, how was it? Quite good so far, and we have a small break tomorrow because it's a holiday in Madrid. So, I'm telling you that you will have some students cancelling your lessons for sure. True, true. Because I... Tomorrow. Tomorrow, exactly. I'm sorry, go ahead. Yeah, tomorrow. Yeah? Mm-hmm. Tell me, tell me. I'm sorry, go ahead, my piece. I was thinking that probably a lot of students also take Friday as a free day. So... So that they can make another... A long weekend. A long weekend, yeah, exactly. Right. So far, tomorrow, I'll be having, I think, hold on, let me check. One, two, three, four hours. So, a little bit short, okay? And then, on Friday, no cancellations as of the moment. No cancellations yet, so far. Yeah, yeah. And I also have two temporary classes. So, I don't think they would like to have the extension, right, of the long weekend. Let's see, let's see. Because definitely, it's back to, you know, back to a normal routine. Because tomorrow, it's going to be a local holiday, right?","yway, it's another, you know, class, alright, for the week. And then, I'm thinking that a lot of students also take Friday as a holiday. And then, I'm"
1,insert,,"Not a... Not national, only in Madrid province. Not in Spain, not in Catalonia, for example, only Madrid. Exactly, right? Okay. Basically, when it's a local holiday, what do you guys love to do? Or is there any in particular that you, you know, you would like to... Honestly, there's not much space for anything at all when it is only one day long. So, waking up late, maybe instead of having a... Exactly. I love that. Instead of having a toast for breakfast, you maybe go on to a fancy brunch. Brunch. Yeah. Exactly. You can do the same. Some avocado toasts with quality latte. Yeah, the latte. Right. Sounds like a nice plan. ",
1,replace,"ll right, okay","nd nothing, nothing really different from a daily routine",
1,replace,"ut anyway, ha","esides, nothing... Not working at all, which is quite... Right. Quite nice to have once in a while. So, nothing s",
1,replace,"py, happy Wednesday, my dear. It's another, you know, uh, class, all right, for the week, right? So, but before we begin, all right, how was your your your week so far? Because we are in the middle part of it, you know, we call it Hump Day. Yeah, yeah. Right? So how how is it? [student: Quite good so far and we have a small break tomorrow because it's a holiday in Madrid. Oh. So","ecial,",
1,replace,m telling you that you will,"d say. Mm-hmm. Mm-hmm. It's something that we, you know,",
1,replace,some students canceling your lessons for sure],to enjoy,
1,replace,"rue, true. [student: Uh","hat's it. Right? Mm-hmm. And again, it is a Thursday. All right? So, the next day, you have to go",
